"id","code","cnword"
"1043","26428","朼"
"1044","26429","朽"
"1045","26430","朾"
"1046","26431","朿"
"1047","26432","杀"
"1048","26433","杁"
"1049","26434","杂"
"1050","26435","权"
"1051","27425","次"
"1052","27426","欢"
"1053","27492","此"
"1054","27515","死"
"1055","27598","毎"
"1056","27605","毕"
"1057","27666","氒"
"1058","27670","氖"
"1059","27671","気"
"1060","27672","氘"
"1061","27708","氼"
"1062","27709","氽"
"1063","27718","汆"
"1064","27722","汊"
"1065","27723","汋"
"1066","27724","汌"
"1067","27725","汍"
"1068","27726","汎"
"1069","27727","汏"
"1070","27728","汐"
"1071","27729","汑"
"1072","27730","汒"
"1073","27731","汓"
"1074","27732","汔"
"1075","27733","汕"
"1076","27735","汗"
"1077","27736","汘"
"1078","27737","汙"
"1079","27738","汚"
"1080","27739","汛"
"1081","27740","汜"
"1082","27741","汝"
"1083","27743","江"
"1084","27744","池"
"1085","27745","污"
"1086","27746","汢"
"1087","27747","汣"
"1088","27748","汤"
"1089","27762","汲"
"1090","27767","汷"
"1091","28782","灮"
"1092","28783","灯"
"1093","28784","灰"
"1094","28785","灱"
"1095","28786","灲"
"1096","28787","灳"
"1097","29239","爷"
"1098","29277","牝"
"1099","29278","牞"
"1100","29279","牟"
"1101","29361","犱"
"1102","29362","犲"
"1103","29363","犳"
"1104","29364","犴"
"1105","29365","犵"
"1106","29367","犷"
"1107","29368","犸"
"1108","29582","玎"
"1109","29583","玏"
"1110","29584","玐"
"1111","29585","玑"
"1112","29927","瓧"
"1113","29994","甪"
"1114","30006","甶"
"1115","30334","百"
"1116","30335","癿"
"1117","31037","礽"
"1118","31041","祁"
"1119","31349","穵"
"1120","31481","竹"
"1121","31859","米"
"1122","31992","糸"
"1123","31993","糹"
"1124","32417","纡"
"1125","32418","红"
"1126","32419","纣"
"1127","32420","纤"
"1128","32421","纥"
"1129","32422","约"
"1130","32423","级"
"1131","32424","纨"
"1132","32425","纩"
"1133","32426","纪"
"1134","32427","纫"
"1135","32566","缶"
"1136","32593","网"
"1137","32650","羊"
"1138","32701","羽"
"1139","32769","老"
"1140","32771","考"
"1141","32780","而"
"1142","32786","耒"
"1143","32819","耳"
"1144","32895","聿"
"1145","32905","肉"
"1146","32907","肋"
"1147","32908","肌"
"1148","32909","肍"
"1149","32910","肎"
"1150","33251","臣"
"1151","33258","自"
"1152","33267","至"
"1153","33276","臼"
"1154","33292","舌"
"1155","33307","舛"
"1156","33311","舟"
"1157","33390","艮"
"1158","33394","色"
"1159","33400","艸"
"1160","33411","芃"
"1161","33412","芄"
"1162","33413","芅"
"1163","33414","芆"
"1164","33415","芇"
"1165","33417","芉"
"1166","33418","芊"
"1167","33419","芋"
"1168","33420","芌"
"1169","33421","芍"
"1170","33422","芎"
"1171","33423","芏"
"1172","33424","芐"
"1173","33425","芑"
"1174","33426","芒"
"1175","33427","芓"
"1176","33429","芕"
"1177","33430","芖"
"1178","33431","芗"
"1179","33437","芝"
"1180","33448","芨"
"1181","34381","虍"
"1182","34411","虫"
"1183","34880","血"
"1184","34892","行"
"1185","34915","衣"
"1186","35198","襾"
"1187","35199","西"
"1188","35200","覀"
"1189","35266","观"
"1190","35762","讲"
"1191","35763","讳"
"1192","35764","讴"
"1193","35765","讵"
"1194","35766","讶"
"1195","35767","讷"
"1196","35768","许"
"1197","35769","讹"
"1198","35770","论"
"1199","35771","讻"
"1200","35772","讼"
"1201","35773","讽"
"1202","35774","设"
"1203","35775","访"
"1204","35776","诀"
"1205","36126","贞"
"1206","36127","负"
"1207","36128","贠"
"1208","36209","赱"
"1209","36712","轨"
"1210","36798","达"
"1211","36799","辿"
"1212","36800","迀"
"1213","36801","迁"
"1214","36802","迂"
"1215","36803","迃"
"1216","36804","迄"
"1217","36805","迅"
"1218","36806","迆"
"1219","36807","过"
"1220","36808","迈"
"1221","36809","迉"
"1222","37022","邞"
"1223","37023","邟"
"1224","37024","邠"
"1225","37025","邡"
"1226","37026","邢"
"1227","37027","那"
"1228","37028","邤"
"1229","37029","邥"
"1230","37030","邦"
"1231","37031","邧"
"1232","37032","邨"
"1233","37033","邩"
"1234","37034","邪"
"1235","37036","邬"
"1236","37047","邷"
"1237","38022","钆"
"1238","38023","钇"
"1239","38379","闫"
"1240","38380","闬"
"1241","38381","闭"
"1242","38382","问"
"1243","38383","闯"
"1244","38437","阥"
"1245","38438","阦"
"1246","38439","阧"
"1247","38440","阨"
"1248","38441","阩"
"1249","38442","阪"
"1250","38443","阫"
"1251","38444","阬"
"1252","38445","阭"
"1253","38446","阮"
"1254","38447","阯"
"1255","38448","阰"
"1256","38449","阱"
"1257","38450","防"
"1258","38451","阳"
"1259","38452","阴"
"1260","38453","阵"
"1261","38454","阶"
"1262","39029","页"
"1263","39270","饦"
"1264","39271","饧"
"1265","39534","驮"
"1266","39535","驯"
"1267","39536","驰"
"1268","40784","齐"
"1269","20003","丣"
"1270","20004","两"
"1271","20005","严"
"1272","20018","串"
"1273","20029","丽"
"1274","20053","乕"
"1275","20081","乱"
"1276","20082","乲"
"1277","20088","乸"
"1278","20106","亊"
"1279","20124","亜"
"1280","20136","亨"
"1281","20137","亩"
"1282","20138","亪"
"1283","20269","伭"
"1284","20270","伮"
"1285","20271","伯"
"1286","20272","估"
"1287","20273","伱"
"1288","20274","伲"
"1289","20275","伳"
"1290","20276","伴"
"1291","20277","伵"
"1292","20278","伶"
"1293","20279","伷"
"1294","20280","伸"
"1295","20281","伹"
"1296","20282","伺"
"1297","20283","伻"
"1298","20284","似"
"1299","20285","伽"
"1300","20286","伾"
"1301","20287","伿"
"1302","20288","佀"
"1303","20289","佁"
"1304","20290","佂"
"1305","20291","佃"
"1306","20292","佄"
"1307","20293","佅"
"1308","20294","但"
"1309","20295","佇"
"1310","20296","佈"
"1311","20297","佉"
"1312","20298","佊"
"1313","20299","佋"
"1314","20301","位"
"1315","20302","低"
"1316","20303","住"
"1317","20304","佐"
"1318","20305","佑"
"1319","20306","佒"
"1320","20307","体"
"1321","20308","佔"
"1322","20309","何"
"1323","20310","佖"
"1324","20311","佗"
"1325","20312","佘"
"1326","20313","余"
"1327","20314","佚"
"1328","20315","佛"
"1329","20316","作"
"1330","20317","佝"
"1331","20318","佞"
"1332","20319","佟"
"1333","20320","你"
"1334","20321","佡"
"1335","20323","佣"
"1336","20325","佥"
"1337","20326","佦"
"1338","20327","佧"
"1339","20328","佨"
"1340","20811","克"
"1341","20812","兌"
"1342","20813","免"
"1343","20814","兎"
"1344","20815","兏"
"1345","20816","児"
"1346","20817","兑"
"1347","20821","兕"
"1348","20853","兵"
"1349","20879","冏"
"1350","20893","冝"
"1351","20917","况"
"1352","20918","冶"
"1353","20919","冷"
"1354","20920","冸"
"1355","20921","冹"
"1356","20922","冺"
"1357","20923","冻"
"1358","20972","凬"
"1359","21020","刜"
"1360","21021","初"
"1361","21022","刞"
"1362","21023","刟"
"1363","21024","删"
"1364","21025","刡"
"1365","21026","刢"
"1366","21027","刣"
"1367","21028","判"
"1368","21029","別"
"1369","21030","刦"
"1370","21031","刧"
"1371","21032","刨"
"1372","21033","利"
"1373","21034","刪"
"1374","21035","别"
"1375","21036","刬"
"1376","21037","刭"
"1377","21161","助"
"1378","21162","努"
"1379","21163","劫"
"1380","21164","劬"
"1381","21165","劭"
"1382","21166","劮"
"1383","21167","劯"
"1384","21168","劰"
"1385","21169","励"
"1386","21170","劲"
"1387","21171","劳"
"1388","21172","労"
